code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,date_registration,module_presentation_length,average_score,min_score,max_score,assessments_submitted,average_submission_date,average_assessment_weight,assessment_type_diversity,total_resource_clicks,average_resource_clicks,first_used,last_used,resources_used,interaction_duration,days_registered
BBB,2013B,2019837,F,North Western Region,A Level or Equivalent,20-30%,35-55,0,60,False,-29.0,240,82.66666666666667,72.0,100.0,3.0,42.666666666666664,8.0,2.0,414.0,2.688311688311688,-8.0,86.0,28.0,94.0,115.0
BBB,2013B,2023366,F,South East Region,Lower Than A Level,60-70%,35-55,0,120,False,-16.0,240,91.33333333333333,83.0,100.0,3.0,41.666666666666664,8.0,2.0,770.0,3.5159817351598175,-8.0,85.0,33.0,93.0,102.0
BBB,2013B,2034350,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,150,False,-60.0,240,87.0,87.0,87.0,1.0,15.0,5.0,1.0,3405.0,8.5125,-9.0,43.0,50.0,52.0,146.0
BBB,2013B,2035022,F,London Region,Lower Than A Level,10-20,35-55,3,120,True,-22.0,240,80.0,80.0,80.0,1.0,60.0,1.0,1.0,36.0,1.894736842105263,46.0,81.0,5.0,35.0,108.0
BBB,2013B,2076177,F,London Region,HE Qualification,30-40%,35-55,0,60,False,-24.0,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,2.8333333333333335,-7.0,20.0,13.0,27.0,110.0
BBB,2013B,2092834,F,South Region,A Level or Equivalent,60-70%,0-35,0,90,False,-57.0,240,84.33333333333333,70.0,100.0,3.0,41.0,8.0,2.0,3953.0,8.133744855967079,-9.0,86.0,38.0,95.0,143.0
BBB,2013B,2097916,F,Yorkshire Region,A Level or Equivalent,20-30%,35-55,0,60,False,-65.0,240,97.75,95.0,100.0,4.0,48.75,10.5,2.0,2082.0,3.778584392014519,-9.0,86.0,47.0,95.0,151.0
BBB,2013B,2132811,F,West Midlands Region,Lower Than A Level,10-20,0-35,0,60,True,-60.0,240,86.33333333333333,75.0,100.0,3.0,42.0,8.0,2.0,610.0,3.2275132275132274,7.0,85.0,37.0,78.0,146.0
BBB,2013B,2173572,F,North Western Region,Lower Than A Level,20-30%,0-35,0,90,False,-111.0,240,84.0,75.0,100.0,3.0,41.666666666666664,8.0,2.0,395.0,2.532051282051282,-9.0,82.0,29.0,91.0,197.0
BBB,2013B,2205383,F,North Western Region,A Level or Equivalent,40-50%,35-55,0,90,False,-211.0,240,92.33333333333333,84.0,100.0,3.0,44.333333333333336,8.0,2.0,1658.0,4.165829145728643,-3.0,86.0,61.0,89.0,297.0
BBB,2013B,2210318,M,Wales,A Level or Equivalent,50-60%,35-55,0,60,False,-8.0,240,79.0,72.0,86.0,2.0,32.5,11.5,1.0,35.0,1.8421052631578947,-3.0,21.0,7.0,24.0,94.0
BBB,2013B,2216178,F,East Anglian Region,HE Qualification,70-80%,35-55,0,60,False,-14.0,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,38.0,38.0,1.0,0.0,100.0
BBB,2013B,2231614,F,South Region,A Level or Equivalent,90-100%,35-55,0,120,True,-22.0,240,86.0,63.0,100.0,3.0,42.0,8.0,2.0,807.0,2.8020833333333335,-9.0,86.0,44.0,95.0,108.0
BBB,2013B,2236738,M,Scotland,HE Qualification,30-40%,35-55,0,120,False,-42.0,240,87.0,77.0,100.0,3.0,41.333333333333336,8.0,2.0,691.0,2.5687732342007434,-9.0,86.0,47.0,95.0,128.0
BBB,2013B,2243551,F,East Anglian Region,Lower Than A Level,60-70%,0-35,1,120,False,-51.0,240,48.0,39.0,60.0,3.0,46.0,8.0,2.0,24.0,1.8461538461538463,5.0,65.0,4.0,60.0,137.0
BBB,2013B,2244724,F,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,False,-22.0,240,69.66666666666667,47.0,100.0,3.0,42.0,8.0,2.0,181.0,2.445945945945946,-8.0,80.0,16.0,88.0,108.0
BBB,2013B,2249372,F,South Region,A Level or Equivalent,50-60%,35-55,0,120,False,-43.0,240,70.0,60.0,75.0,3.0,41.666666666666664,8.0,2.0,1608.0,3.2419354838709675,-9.0,86.0,68.0,95.0,129.0
BBB,2013B,2254619,F,East Anglian Region,A Level or Equivalent,80-90%,35-55,0,60,False,-100.0,240,75.66666666666667,73.0,80.0,3.0,40.333333333333336,8.0,2.0,632.0,2.912442396313364,-9.0,82.0,25.0,91.0,186.0
BBB,2013B,2265234,F,South West Region,Lower Than A Level,50-60%,35-55,0,120,False,-42.0,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,1.8043478260869565,-9.0,9.0,18.0,18.0,128.0
BBB,2013B,2269480,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,False,-15.0,240,91.33333333333333,87.0,100.0,3.0,41.333333333333336,8.0,2.0,418.0,3.8,-9.0,77.0,22.0,86.0,101.0
BBB,2013B,2273828,F,North Western Region,A Level or Equivalent,10-20,0-35,0,60,False,-8.0,240,91.0,82.0,100.0,2.0,39.5,3.0,2.0,972.0,3.4105263157894736,-7.0,85.0,52.0,92.0,94.0
BBB,2013B,2279538,F,South West Region,A Level or Equivalent,50-60%,35-55,2,60,False,-65.0,240,52.0,52.0,52.0,1.0,19.0,5.0,1.0,56.0,4.666666666666667,19.0,33.0,4.0,14.0,151.0
BBB,2013B,2280038,M,Yorkshire Region,Lower Than A Level,50-60%,0-35,2,60,False,-81.0,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,4.25,19.0,19.0,6.0,0.0,167.0
BBB,2013B,2287671,F,North Western Region,A Level or Equivalent,10-20,0-35,0,120,True,-36.0,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0
BBB,2013B,2288607,F,South East Region,Lower Than A Level,50-60%,35-55,2,120,False,-55.0,240,83.75,70.0,100.0,4.0,51.0,10.5,2.0,864.0,3.085714285714286,-9.0,86.0,35.0,95.0,141.0
BBB,2013B,2290090,F,South East Region,Lower Than A Level,30-40%,0-35,0,60,False,-65.0,240,86.0,78.0,100.0,3.0,41.333333333333336,8.0,2.0,397.0,3.176,-5.0,84.0,22.0,89.0,151.0
BBB,2013B,2291598,F,South Region,A Level or Equivalent,80-90%,35-55,0,90,True,-89.0,240,77.33333333333333,65.0,100.0,3.0,41.333333333333336,8.0,2.0,976.0,2.9938650306748467,-7.0,85.0,38.0,92.0,175.0
BBB,2013B,2293443,F,South East Region,Lower Than A Level,30-40%,35-55,1,120,True,-19.0,240,83.25,76.0,100.0,4.0,51.75,10.5,2.0,1410.0,2.7115384615384617,-9.0,86.0,52.0,95.0,105.0
BBB,2013B,2296749,F,West Midlands Region,Lower Than A Level,60-70%,35-55,0,60,False,-109.0,240,73.33333333333333,70.0,80.0,3.0,48.666666666666664,8.0,2.0,122.0,2.8372093023255816,0.0,86.0,16.0,86.0,195.0
BBB,2013B,2300911,F,South West Region,Lower Than A Level,70-80%,35-55,0,60,False,-109.0,240,79.66666666666667,64.0,100.0,3.0,44.333333333333336,8.0,2.0,323.0,3.6292134831460676,15.0,78.0,18.0,63.0,195.0
BBB,2013B,2301111,F,Scotland,HE Qualification,10-20,0-35,1,60,False,-12.0,240,91.0,91.0,91.0,1.0,16.0,5.0,1.0,60.0,2.608695652173913,-8.0,45.0,11.0,53.0,98.0
BBB,2013B,2302925,F,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,False,-122.0,240,85.66666666666667,74.0,100.0,3.0,41.333333333333336,8.0,2.0,3464.0,7.680709534368071,-9.0,83.0,32.0,92.0,208.0
BBB,2013B,2303034,F,South West Region,A Level or Equivalent,20-30%,35-55,1,60,True,-24.0,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.0,2.454081632653061,-9.0,83.0,41.0,92.0,110.0
BBB,2013B,2303848,M,Ireland,Lower Than A Level,30-40%,35-55,1,60,False,-73.0,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,3.9285714285714284,-3.0,-2.0,6.0,1.0,159.0
BBB,2013B,2308528,M,Scotland,A Level or Equivalent,10-20,0-35,0,60,False,-93.0,240,84.33333333333333,70.0,100.0,3.0,40.666666666666664,8.0,2.0,584.0,2.821256038647343,-9.0,86.0,31.0,95.0,179.0
BBB,2013B,2322046,F,South Region,HE Qualification,90-100%,35-55,1,60,True,-51.0,240,65.0,50.0,80.0,2.0,37.5,3.0,2.0,245.0,3.4027777777777777,5.0,58.0,9.0,53.0,137.0
BBB,2013B,2322342,F,South West Region,HE Qualification,30-40%,35-55,0,120,False,-86.0,240,83.0,71.0,100.0,3.0,41.666666666666664,8.0,2.0,602.0,2.6519823788546257,-8.0,78.0,36.0,86.0,172.0
BBB,2013B,2327072,F,Wales,HE Qualification,50-60%,0-35,0,120,False,-71.0,240,81.75,64.0,100.0,4.0,48.75,10.5,2.0,108.0,2.25,-5.0,81.0,8.0,86.0,157.0
BBB,2013B,2336550,F,West Midlands Region,HE Qualification,0-10%,35-55,0,120,False,-30.0,240,71.0,55.0,100.0,3.0,41.333333333333336,8.0,2.0,247.0,2.494949494949495,12.0,86.0,25.0,74.0,116.0
BBB,2013B,2340190,F,Yorkshire Region,Lower Than A Level,20-30%,0-35,5,120,False,-16.0,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.25,5.0,5.0,4.0,0.0,102.0
BBB,2013B,2366070,F,South East Region,HE Qualification,30-40%,0-35,0,240,False,-21.0,240,75.33333333333333,73.0,80.0,3.0,41.333333333333336,8.0,2.0,354.0,3.2181818181818183,-8.0,70.0,23.0,78.0,107.0
BBB,2013B,2375144,F,East Anglian Region,Lower Than A Level,40-50%,0-35,0,90,False,-86.0,240,87.33333333333333,80.0,100.0,3.0,40.333333333333336,8.0,2.0,2108.0,6.311377245508982,-8.0,84.0,37.0,92.0,172.0
BBB,2013B,2376628,F,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,120,False,-143.0,240,75.33333333333333,73.0,80.0,3.0,41.0,8.0,2.0,147.0,2.4098360655737703,-9.0,86.0,18.0,95.0,229.0
BBB,2013B,2377567,F,South West Region,HE Qualification,50-60%,35-55,0,60,False,-24.0,240,79.33333333333333,61.0,100.0,3.0,40.333333333333336,8.0,2.0,709.0,2.1164179104477614,-9.0,86.0,49.0,95.0,110.0
BBB,2013B,2380539,F,East Midlands Region,No Formal quals,0-10%,0-35,0,60,False,-248.0,240,88.66666666666667,73.0,100.0,3.0,45.666666666666664,8.0,2.0,720.0,2.5806451612903225,-9.0,86.0,71.0,95.0,334.0
BBB,2013B,2384819,F,Scotland,HE Qualification,0-10%,35-55,0,120,False,-19.0,240,88.66666666666667,77.0,100.0,3.0,41.333333333333336,8.0,2.0,150.0,2.272727272727273,-6.0,85.0,12.0,91.0,105.0
BBB,2013B,2394212,F,Ireland,HE Qualification,20-30%,35-55,0,90,False,-253.0,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.0
BBB,2013B,2395222,F,Wales,HE Qualification,0-10%,35-55,0,60,False,-45.0,240,86.0,75.0,100.0,3.0,41.333333333333336,8.0,2.0,207.0,3.338709677419355,2.0,46.0,15.0,44.0,131.0
BBB,2013B,2399361,F,Scotland,A Level or Equivalent,20-30%,0-35,1,120,False,-115.0,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0
BBB,2013B,2415962,M,Scotland,A Level or Equivalent,0-10%,35-55,0,120,True,-50.0,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,3.0384615384615383,-2.0,14.0,15.0,16.0,136.0
BBB,2013B,2418877,F,Ireland,Lower Than A Level,0-10%,0-35,1,60,True,-85.0,240,84.33333333333333,75.0,100.0,3.0,42.333333333333336,8.0,2.0,582.0,3.03125,-9.0,76.0,21.0,85.0,171.0
BBB,2013B,2422639,F,North Region,Lower Than A Level,60-70%,0-35,0,120,False,-16.0,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2.6,16.0,16.0,7.0,0.0,102.0
BBB,2013B,2423078,M,London Region,A Level or Equivalent,0-10%,35-55,1,180,False,-126.0,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.6666666666666667,30.0,30.0,3.0,0.0,212.0
BBB,2013B,2425333,F,Scotland,A Level or Equivalent,0-10%,35-55,0,60,True,-123.0,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0
BBB,2013B,2425726,F,East Anglian Region,Lower Than A Level,20-30%,35-55,0,60,False,-112.0,240,81.0,62.0,100.0,2.0,39.0,3.0,2.0,659.0,3.230392156862745,-9.0,68.0,36.0,77.0,198.0
BBB,2013B,2439201,F,North Region,Lower Than A Level,20-30%,0-35,0,60,False,-86.0,240,64.5,63.0,66.0,2.0,33.0,11.5,1.0,352.0,2.7716535433070866,-8.0,80.0,16.0,88.0,172.0
BBB,2013B,2442685,M,East Anglian Region,Lower Than A Level,40-50%,0-35,1,120,False,-80.0,240,60.0,50.0,70.0,2.0,53.0,11.5,1.0,24.0,2.0,24.0,78.0,3.0,54.0,166.0
BBB,2013B,2444088,F,South West Region,Lower Than A Level,80-90%,35-55,0,60,False,-16.0,240,88.33333333333333,78.0,100.0,3.0,43.666666666666664,8.0,2.0,782.0,2.854014598540146,-9.0,86.0,36.0,95.0,102.0
BBB,2013B,2444102,F,South East Region,HE Qualification,80-90%,0-35,0,60,False,-161.0,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0
BBB,2013B,2444703,F,West Midlands Region,Lower Than A Level,0-10%,0-35,2,120,False,-94.0,240,80.0,60.0,100.0,3.0,43.333333333333336,8.0,2.0,226.0,2.3789473684210525,-7.0,62.0,19.0,69.0,180.0
BBB,2013B,2445088,M,London Region,Lower Than A Level,40-50%,35-55,0,60,False,-24.0,240,79.66666666666667,67.0,100.0,3.0,48.666666666666664,8.0,2.0,190.0,2.087912087912088,-1.0,80.0,21.0,81.0,110.0
BBB,2013B,2445949,M,East Anglian Region,Lower Than A Level,0-10%,35-55,2,60,False,-53.0,240,63.0,63.0,63.0,1.0,24.0,5.0,1.0,20.0,2.857142857142857,24.0,32.0,3.0,8.0,139.0
BBB,2013B,2446144,F,South West Region,A Level or Equivalent,60-70%,35-55,0,60,False,-50.0,240,80.0,68.0,100.0,4.0,52.0,10.5,2.0,413.0,3.52991452991453,-5.0,86.0,22.0,91.0,136.0
BBB,2013B,2458984,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,60,True,-78.0,240,65.0,65.0,65.0,2.0,32.0,11.5,1.0,83.0,2.128205128205128,3.0,55.0,20.0,52.0,164.0
BBB,2013B,2464963,F,Yorkshire Region,A Level or Equivalent,80-90%,35-55,0,60,False,-3.0,240,73.0,54.0,100.0,3.0,47.0,8.0,2.0,386.0,3.1129032258064515,-2.0,86.0,34.0,88.0,89.0
BBB,2013B,2466123,F,North Western Region,Lower Than A Level,30-40%,0-35,0,60,True,-30.0,240,63.0,63.0,63.0,1.0,20.0,5.0,1.0,4.0,1.0,6.0,38.0,3.0,32.0,116.0
BBB,2013B,2470672,F,West Midlands Region,A Level or Equivalent,30-40%,35-55,1,60,False,-21.0,240,76.0,60.0,100.0,3.0,42.0,8.0,2.0,973.0,3.402097902097902,-6.0,83.0,41.0,89.0,107.0
BBB,2013B,2474493,F,South East Region,A Level or Equivalent,50-60%,0-35,0,120,False,-60.0,240,79.33333333333333,58.0,100.0,3.0,45.666666666666664,8.0,2.0,131.0,2.183333333333333,9.0,86.0,26.0,77.0,146.0
BBB,2013B,2475034,F,Ireland,Lower Than A Level,90-100%,0-35,0,60,False,-112.0,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0
BBB,2013B,2475780,F,Scotland,Lower Than A Level,90-100%,35-55,4,120,False,-73.0,240,72.66666666666667,65.0,80.0,3.0,40.0,8.0,2.0,138.0,2.3,6.0,80.0,14.0,74.0,159.0
BBB,2013B,2476649,F,South East Region,Lower Than A Level,80-90%,0-35,1,60,False,-49.0,240,86.25,74.0,100.0,4.0,51.75,10.5,2.0,526.0,2.5167464114832536,-9.0,82.0,26.0,91.0,135.0
BBB,2013B,2480865,F,South Region,A Level or Equivalent,90-100%,0-35,0,120,False,-137.0,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0
BBB,2013B,2481224,M,London Region,Lower Than A Level,10-20,35-55,0,120,True,-55.0,240,89.66666666666667,84.0,100.0,3.0,38.333333333333336,8.0,2.0,1386.0,2.9935205183585314,-9.0,86.0,72.0,95.0,141.0
BBB,2013B,2481765,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,False,-57.0,240,83.33333333333333,71.0,100.0,3.0,41.0,8.0,2.0,452.0,2.825,-9.0,86.0,21.0,95.0,143.0
BBB,2013B,2483179,F,Wales,Lower Than A Level,40-50%,0-35,0,60,False,-36.0,240,83.0,74.0,100.0,3.0,42.0,8.0,2.0,1332.0,4.608996539792387,-3.0,86.0,30.0,89.0,122.0
BBB,2013B,2483568,F,South East Region,A Level or Equivalent,50-60%,35-55,0,120,False,-73.0,240,82.33333333333333,67.0,100.0,3.0,42.0,8.0,2.0,813.0,2.7938144329896906,-5.0,81.0,46.0,86.0,159.0
BBB,2013B,2487541,F,London Region,HE Qualification,50-60%,35-55,0,60,False,-15.0,240,89.66666666666667,83.0,100.0,3.0,41.0,8.0,2.0,1132.0,4.0,-5.0,86.0,29.0,91.0,101.0
BBB,2013B,2498182,M,East Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,False,-86.0,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0
BBB,2013B,2498299,F,Wales,A Level or Equivalent,30-40%,0-35,1,120,False,-21.0,240,89.5,81.0,100.0,4.0,52.25,10.5,2.0,278.0,2.3361344537815127,-4.0,86.0,22.0,90.0,107.0
BBB,2013B,2512392,F,Wales,Lower Than A Level,90-100%,35-55,0,120,False,-24.0,240,82.66666666666667,80.0,85.0,3.0,42.0,8.0,2.0,1605.0,3.8674698795180724,-9.0,86.0,51.0,95.0,110.0
BBB,2013B,2517864,F,South West Region,HE Qualification,30-40%,35-55,0,210,False,-15.0,240,87.66666666666667,73.0,100.0,3.0,38.666666666666664,8.0,2.0,215.0,2.2395833333333335,-9.0,85.0,19.0,94.0,101.0
BBB,2013B,2518653,F,Wales,A Level or Equivalent,40-50%,0-35,0,120,False,-16.0,240,94.0,87.0,100.0,3.0,41.333333333333336,8.0,2.0,367.0,2.5664335664335662,-8.0,86.0,34.0,94.0,102.0
BBB,2013B,2521745,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,60,False,-22.0,240,60.75,43.0,100.0,4.0,52.5,10.5,2.0,100.0,1.5873015873015872,-2.0,80.0,25.0,82.0,108.0
BBB,2013B,2522093,F,Scotland,HE Qualification,70-80%,0-35,0,120,False,-219.0,240,90.0,83.0,100.0,3.0,39.666666666666664,8.0,2.0,3713.0,9.719895287958115,-9.0,83.0,34.0,92.0,305.0
BBB,2013B,2524127,F,East Anglian Region,Lower Than A Level,10-20,0-35,2,120,False,-45.0,240,73.0,66.0,80.0,3.0,35.666666666666664,8.0,2.0,92.0,2.358974358974359,11.0,80.0,10.0,69.0,131.0
BBB,2013B,2528352,F,West Midlands Region,Lower Than A Level,10-20,0-35,1,60,False,-81.0,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0
BBB,2013B,2528966,F,North Western Region,A Level or Equivalent,10-20,35-55,1,120,True,-74.0,240,76.66666666666667,65.0,100.0,3.0,46.0,8.0,2.0,292.0,3.139784946236559,3.0,83.0,29.0,80.0,160.0
BBB,2013B,2531031,F,East Anglian Region,Lower Than A Level,10-20,35-55,0,120,False,-21.0,240,79.66666666666667,66.0,100.0,3.0,41.333333333333336,8.0,2.0,698.0,3.438423645320197,-9.0,86.0,30.0,95.0,107.0
BBB,2013B,2534033,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,1,60,True,-100.0,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0
BBB,2013B,2535788,F,Yorkshire Region,A Level or Equivalent,10-20,35-55,2,60,False,-16.0,240,82.5,65.0,100.0,2.0,43.5,3.0,2.0,1499.0,4.930921052631579,-9.0,35.0,55.0,44.0,102.0
BBB,2013B,2540362,F,North Western Region,HE Qualification,50-60%,35-55,0,120,False,-52.0,240,77.75,69.0,100.0,4.0,51.75,10.5,2.0,259.0,2.194915254237288,-7.0,84.0,25.0,91.0,138.0
BBB,2013B,2540746,F,West Midlands Region,Lower Than A Level,10-20,0-35,0,60,False,-22.0,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.8095238095238095,-9.0,8.0,7.0,17.0,108.0
BBB,2013B,2541120,F,South Region,A Level or Equivalent,30-40%,35-55,0,60,False,-30.0,240,86.66666666666667,79.0,100.0,3.0,41.333333333333336,8.0,2.0,172.0,2.5671641791044775,9.0,85.0,12.0,76.0,116.0
BBB,2013B,2553749,F,North Western Region,No Formal quals,0-10%,35-55,1,60,False,-42.0,240,84.33333333333333,75.0,100.0,3.0,45.333333333333336,8.0,2.0,958.0,4.111587982832618,-7.0,86.0,41.0,93.0,128.0
BBB,2013B,2560219,F,East Anglian Region,Lower Than A Level,40-50%,35-55,0,90,False,-22.0,240,63.0,61.0,65.0,2.0,35.0,11.5,1.0,237.0,2.6931818181818183,-1.0,77.0,25.0,78.0,108.0
BBB,2013B,2568958,F,Scotland,Lower Than A Level,40-50%,35-55,0,60,False,-71.0,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0
BBB,2013B,2569163,F,Yorkshire Region,HE Qualification,40-50%,35-55,0,120,False,-23.0,240,87.33333333333333,81.0,100.0,3.0,41.0,8.0,2.0,387.0,3.365217391304348,2.0,82.0,17.0,80.0,109.0
BBB,2013B,2570633,F,London Region,Lower Than A Level,30-40%,35-55,0,240,False,-15.0,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-2.0,-2.0,1.0,0.0,101.0
BBB,2013B,2571447,F,Ireland,Lower Than A Level,20-30%,0-35,0,60,False,-45.0,240,81.0,81.0,81.0,1.0,18.0,5.0,1.0,229.0,3.0533333333333332,-2.0,39.0,24.0,41.0,131.0
BBB,2013B,2572118,F,London Region,Lower Than A Level,0-10%,0-35,0,150,False,-51.0,240,70.0,70.0,70.0,1.0,19.0,5.0,1.0,74.0,1.3454545454545455,-5.0,37.0,19.0,42.0,137.0
BBB,2013B,2575914,F,North Region,Lower Than A Level,0-10%,0-35,3,60,True,-49.0,240,76.33333333333333,67.0,82.0,3.0,41.333333333333336,8.0,2.0,771.0,3.1859504132231407,9.0,86.0,31.0,77.0,135.0
BBB,2013B,2578041,F,London Region,A Level or Equivalent,30-40%,35-55,0,300,False,-92.0,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0
BBB,2013B,2578567,F,East Midlands Region,Lower Than A Level,10-20,0-35,0,60,False,-25.0,240,77.33333333333333,74.0,80.0,3.0,44.333333333333336,8.0,2.0,492.0,2.4477611940298507,-7.0,86.0,31.0,93.0,111.0
BBB,2013B,2579459,F,South West Region,Lower Than A Level,20-30%,35-55,0,60,False,-51.0,240,85.0,72.0,100.0,4.0,51.5,10.5,2.0,430.0,2.3369565217391304,-9.0,85.0,29.0,94.0,137.0
BBB,2013B,2580439,F,Wales,HE Qualification,10-20,35-55,0,120,False,-71.0,240,85.0,72.0,100.0,3.0,41.333333333333336,8.0,2.0,255.0,2.0901639344262297,0.0,72.0,28.0,72.0,157.0
BBB,2013B,2581528,F,South East Region,Lower Than A Level,40-50%,0-35,0,120,False,-122.0,240,79.0,63.0,100.0,3.0,42.0,8.0,2.0,248.0,2.2545454545454544,4.0,70.0,36.0,66.0,208.0
BBB,2013B,2587260,F,South West Region,HE Qualification,40-50%,0-35,1,120,False,-46.0,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0
BBB,2013B,2591421,F,London Region,A Level or Equivalent,10-20,35-55,0,90,False,-18.0,240,70.0,60.0,80.0,2.0,39.5,3.0,2.0,308.0,2.264705882352941,-8.0,85.0,28.0,93.0,104.0
BBB,2013B,2597027,F,South West Region,A Level or Equivalent,40-50%,35-55,0,60,False,-235.0,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0
BBB,2013B,2598220,F,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,120,False,-34.0,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,5.0,2.0,1.0,120.0
BBB,2013B,2602809,F,North Region,Lower Than A Level,60-70%,35-55,0,60,False,-77.0,240,84.0,62.0,100.0,3.0,41.666666666666664,8.0,2.0,4900.0,7.368421052631579,-7.0,86.0,41.0,93.0,163.0
BBB,2013B,2608235,F,East Anglian Region,A Level or Equivalent,10-20,0-35,0,60,False,-22.0,240,71.5,58.0,100.0,4.0,51.5,10.5,2.0,552.0,3.2662721893491122,-8.0,82.0,45.0,90.0,108.0
BBB,2013B,2608453,F,Scotland,Lower Than A Level,30-40%,35-55,5,120,False,-21.0,240,78.66666666666667,77.0,80.0,3.0,41.666666666666664,8.0,2.0,1189.0,3.911184210526316,-4.0,77.0,92.0,81.0,107.0
BBB,2013B,2612483,F,South Region,A Level or Equivalent,90-100%,0-35,0,60,False,-25.0,240,90.0,80.0,100.0,3.0,39.333333333333336,8.0,2.0,233.0,2.33,-7.0,86.0,23.0,93.0,111.0
BBB,2013B,2616787,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,90,True,-135.0,240,83.33333333333333,75.0,100.0,3.0,44.0,8.0,2.0,291.0,2.124087591240876,-9.0,86.0,34.0,95.0,221.0
BBB,2013B,2617596,F,East Midlands Region,HE Qualification,80-90%,35-55,0,120,False,-15.0,240,97.66666666666667,93.0,100.0,3.0,41.0,8.0,2.0,1864.0,4.096703296703296,-5.0,86.0,45.0,91.0,101.0
BBB,2013B,2617650,F,South East Region,Lower Than A Level,70-80%,35-55,1,120,False,-231.0,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.0
BBB,2013B,2617999,F,North Western Region,Lower Than A Level,10-20,35-55,0,180,False,-185.0,240,71.66666666666667,63.0,80.0,3.0,41.333333333333336,8.0,2.0,646.0,2.584,-9.0,86.0,43.0,95.0,271.0
BBB,2013B,2620178,M,South Region,Lower Than A Level,20-30%,0-35,0,60,False,-27.0,240,91.33333333333333,87.0,100.0,3.0,41.333333333333336,8.0,2.0,308.0,2.351145038167939,-9.0,81.0,25.0,90.0,113.0
BBB,2013B,2622465,M,London Region,Lower Than A Level,20-30%,35-55,0,60,False,-60.0,240,82.66666666666667,68.0,100.0,3.0,40.666666666666664,8.0,2.0,837.0,2.364406779661017,1.0,85.0,48.0,84.0,146.0
BBB,2013B,2626410,F,Wales,A Level or Equivalent,40-50%,35-55,0,60,False,-14.0,240,73.66666666666667,45.0,100.0,3.0,46.666666666666664,8.0,2.0,841.0,3.12639405204461,-9.0,86.0,35.0,95.0,100.0
